query_id,measure,perfect,binarized,nearrandom
156493,AP,0.0,0.0,0.0
156493,RR,0.0,0.0,0.0
156493,R@1000,0.0,0.0,0.0
156493,nDCG@3,0.0,0.0,0.0
156493,nDCG@10,0.0,0.0,0.0
156493,nDCG@20,0.0,0.0,0.0
156493,nDCG@100,0.0,0.0,0.0
1110199,AP,0.0,0.0,0.0
1110199,RR,0.0,0.0,0.0
1110199,R@1000,0.0,0.0,0.0
1110199,nDCG@3,0.0,0.0,0.0
1110199,nDCG@10,0.0,0.0,0.0
1110199,nDCG@20,0.0,0.0,0.0
1110199,nDCG@100,0.0,0.0,0.0
1063750,AP,0.0,0.0,0.0
1063750,RR,0.0,0.0,0.0
1063750,R@1000,0.0,0.0,0.0
1063750,nDCG@3,0.0,0.0,0.0
1063750,nDCG@10,0.0,0.0,0.0
1063750,nDCG@20,0.0,0.0,0.0
1063750,nDCG@100,0.0,0.0,0.0
130510,AP,0.0,0.0,0.0
130510,RR,0.0,0.0,0.0
130510,R@1000,0.0,0.0,0.0
130510,nDCG@3,0.0,0.0,0.0
130510,nDCG@10,0.0,0.0,0.0
130510,nDCG@20,0.0,0.0,0.0
130510,nDCG@100,0.0,0.0,0.0
489204,AP,0.0,0.0001283893418621032,0.0
489204,RR,0.0,0.005291005291005291,0.0
489204,R@1000,0.0,0.03125,0.0
489204,nDCG@3,0.0,0.0,0.0
489204,nDCG@10,0.0,0.0,0.0
489204,nDCG@20,0.0,0.0,0.0
489204,nDCG@100,0.0,0.0,0.0
573724,AP,0.0,0.0,0.0
573724,RR,0.0,0.0,0.0
573724,R@1000,0.0,0.0,0.0
573724,nDCG@3,0.0,0.0,0.0
573724,nDCG@10,0.0,0.0,0.0
573724,nDCG@20,0.0,0.0,0.0
573724,nDCG@100,0.0,0.0,0.0
168216,AP,0.0,0.0,0.0
168216,RR,0.0,0.0,0.0
168216,R@1000,0.0,0.0,0.0
168216,nDCG@3,0.0,0.0,0.0
168216,nDCG@10,0.0,0.0,0.0
168216,nDCG@20,0.0,0.0,0.0
168216,nDCG@100,0.0,0.0,0.0
1133167,AP,0.0,0.0,0.0
1133167,RR,0.0,0.0,0.0
1133167,R@1000,0.0,0.0,0.0
1133167,nDCG@3,0.0,0.0,0.0
1133167,nDCG@10,0.0,0.0,0.0
1133167,nDCG@20,0.0,0.0,0.0
